run_id,timestamp,task_id,task_name,architecture,model,success,iterations,messages,estimated_cost,input_tokens,output_tokens,total_tokens,elapsed_seconds,final_code_path,error_message
d131a29ab7e9,2026-05-19T15:06:49.411174+00:00,t02,parse_csv_line,chain,GigaChat-2-Max,False,1,4,4.0,1513,875,2388,24.4184,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\d131a29ab7e9_chain_t02_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmp2_kll911\candidate_test.py"", line 48, in <module> | assert parse_csv_line('  a ,"" b "",c ') == [""  a "", "" b "", ""c ""] | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
dc99fca1562b,2026-05-19T15:07:06.232582+00:00,t03,merge_intervals,chain,GigaChat-2-Max,False,1,4,4.0,1477,625,2102,16.8212,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\dc99fca1562b_chain_t03_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpf2mxsh12\candidate_test.py"", line 40, in <module> | assert merge_intervals([(5, 7), (1, 3), (2, 4)]) == [(1, 4), (5, 7)] | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
8ca804ce019c,2026-05-19T15:07:19.230236+00:00,t04,calculate_cart_total,chain,GigaChat-2-Max,False,1,4,4.0,1529,537,2066,12.9974,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\8ca804ce019c_chain_t04_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpeagt1iun\candidate_test.py"", line 2, in <genexpr> | if any(item['price'] < 0 or item['quantity'] <= 0 for item in items): | ~~~~^^^^^^^^^^^^ | KeyError: 'quantity'"
7afab88a9311,2026-05-19T15:07:30.819617+00:00,t05,top_k_frequent,chain,GigaChat-2-Max,False,1,4,4.0,1267,494,1761,11.5891,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\7afab88a9311_chain_t05_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmp7ndnvfbg\candidate_test.py"", line 22, in <module> | assert top_k_frequent([""Apple"", ""apple"", ""Banana""], 2) == [""apple"", ""banana""] | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
d7c57b1278d6,2026-05-19T15:07:44.120717+00:00,t06,detect_cycle,chain,GigaChat-2-Max,True,1,4,4.0,1142,469,1611,13.3009,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\d7c57b1278d6_chain_t06_iter1.py,
c62e3e783761,2026-05-19T15:08:03.021267+00:00,t07,analyze_logs,chain,GigaChat-2-Max,False,1,4,4.0,1722,753,2475,18.9004,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\c62e3e783761_chain_t07_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpc8f4hr1q\candidate_test.py"", line 46, in <module> | assert analyze_logs(lines) == {""total"": 3, ""by_level"": {""INFO"": 1, ""ERROR"": 1, ""WARNING"": 1}, ""errors"": 1, ""most_common_endpoint"": ""/api/users""} | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
fcd983fe0a20,2026-05-19T15:08:13.846507+00:00,t08,group_by_category,chain,GigaChat-2-Max,True,1,4,4.0,980,262,1242,10.825,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\fcd983fe0a20_chain_t08_iter1.py,
b4c278fc11f2,2026-05-19T15:08:33.113651+00:00,t09,resolve_build_order,chain,GigaChat-2-Max,True,1,4,4.0,1593,809,2402,19.2669,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\b4c278fc11f2_chain_t09_iter1.py,
c0ee18e09f68,2026-05-19T15:09:00.017867+00:00,t01,normalize_email,centralized,GigaChat-2-Max,True,1,6,6.0,1983,587,2570,26.9039,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\c0ee18e09f68_centralized_t01_iter1.py,
a9fd683a6e1a,2026-05-19T15:09:21.193800+00:00,t02,parse_csv_line,centralized,GigaChat-2-Max,False,1,6,6.0,1831,732,2563,21.1756,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\a9fd683a6e1a_centralized_t02_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmp5gsg45yq\candidate_test.py"", line 28, in <module> | assert parse_csv_line('""a""""b"",c') == ['a""b', ""c""] | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
5a962dcecac6,2026-05-19T15:09:42.380279+00:00,t03,merge_intervals,centralized,GigaChat-2-Max,True,1,6,6.0,2327,734,3061,21.1863,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\5a962dcecac6_centralized_t03_iter1.py,
f2f066b67efa,2026-05-19T15:10:13.375081+00:00,t04,calculate_cart_total,centralized,GigaChat-2-Max,False,1,6,6.0,2899,1038,3937,30.9945,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\f2f066b67efa_centralized_t04_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpun83mlab\candidate_test.py"", line 2, in <genexpr> | if any(item['price'] < 0 or item['quantity'] <= 0 for item in items): | ~~~~^^^^^^^^^^^^ | KeyError: 'quantity'"
2d7eea276087,2026-05-19T15:10:30.460959+00:00,t05,top_k_frequent,centralized,GigaChat-2-Max,False,1,6,6.0,1791,639,2430,17.0857,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\2d7eea276087_centralized_t05_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmptm4ljuj8\candidate_test.py"", line 3, in <module> | assert top_k_frequent([], 3) == [] | ^^^^^^^^^^^^^^ | NameError: name 'top_k_frequent' is not defined"
460a0d91b910,2026-05-19T15:10:52.228298+00:00,t06,detect_cycle,centralized,GigaChat-2-Max,True,1,6,6.0,2112,727,2839,21.7671,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\460a0d91b910_centralized_t06_iter1.py,
a8575049f05a,2026-05-19T15:11:21.256829+00:00,t07,analyze_logs,centralized,GigaChat-2-Max,False,1,6,6.0,2370,1276,3646,29.0283,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\a8575049f05a_centralized_t07_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpxizcpis_\candidate_test.py"", line 3, in <module> | result = analyze_logs([]) | ^^^^^^^^^^^^ | NameError: name 'analyze_logs' is not defined"
efbfd8cdae11,2026-05-19T15:11:34.379001+00:00,t08,group_by_category,centralized,GigaChat-2-Max,True,1,6,6.0,1654,430,2084,13.1219,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\efbfd8cdae11_centralized_t08_iter1.py,
4aba24ad8d59,2026-05-19T15:12:03.823285+00:00,t09,resolve_build_order,centralized,GigaChat-2-Max,False,1,6,6.0,2786,1094,3880,29.4441,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\4aba24ad8d59_centralized_t09_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpgn3tayx4\candidate_test.py"", line 41, in <module> | assert resolve_build_order({""app"": [""lib""], ""lib"": []}) == [""lib"", ""app""] | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
020b35ae36ed,2026-05-19T15:12:17.451067+00:00,t01,normalize_email,feedback_graph,GigaChat-2-Max,True,1,4,4.0,1118,484,1602,13.6275,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\020b35ae36ed_feedback_graph_t01_iter1.py,
0fccad65f39b,2026-05-19T15:12:38.484419+00:00,t02,parse_csv_line,feedback_graph,GigaChat-2-Max,False,3,7,7.0,2699,876,3575,21.0332,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\0fccad65f39b_feedback_graph_t02_iter3.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmplpe5gpye\candidate_test.py"", line 40, in <module> | assert parse_csv_line(""a,,c,"") == [""a"", """", ""c"", """"] | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
c3cd6782ed2b,2026-05-19T15:12:52.572146+00:00,t03,merge_intervals,feedback_graph,GigaChat-2-Max,True,1,4,4.0,1330,521,1851,14.0876,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\c3cd6782ed2b_feedback_graph_t03_iter1.py,
20130631f69b,2026-05-19T15:13:20.073031+00:00,t04,calculate_cart_total,feedback_graph,GigaChat-2-Max,True,2,6,6.0,3023,1063,4086,27.5006,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\20130631f69b_feedback_graph_t04_iter2.py,
306a4f56cb95,2026-05-19T15:13:33.502279+00:00,t05,top_k_frequent,feedback_graph,GigaChat-2-Max,True,1,4,4.0,1137,440,1577,13.4291,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\306a4f56cb95_feedback_graph_t05_iter1.py,
4c9107783f5e,2026-05-19T15:13:44.871285+00:00,t06,detect_cycle,feedback_graph,GigaChat-2-Max,True,1,4,4.0,1027,392,1419,11.3688,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\4c9107783f5e_feedback_graph_t06_iter1.py,
319ec8e8d2f7,2026-05-19T15:14:15.996821+00:00,t07,analyze_logs,feedback_graph,GigaChat-2-Max,False,3,7,7.0,3231,1302,4533,31.1253,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\319ec8e8d2f7_feedback_graph_t07_iter3.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmp62unlnet\candidate_test.py"", line 61, in <module> | assert analyze_logs(lines) == {""total"": 3, ""by_level"": {""INFO"": 1, ""ERROR"": 1, ""WARNING"": 1}, ""errors"": 1, ""most_common_endpoint"": ""/api/users""} | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
a08c470feefc,2026-05-19T15:14:28.174381+00:00,t08,group_by_category,feedback_graph,GigaChat-2-Max,False,3,7,7.0,2375,395,2770,12.1773,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\a08c470feefc_feedback_graph_t08_iter3.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpxwkvt53q\candidate_test.py"", line 18, in <module> | assert group_by_category([{""id"": 1, ""category"": """"}]) == {"""": [{""id"": 1, ""category"": """"}]} | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
141017241e94,2026-05-19T15:15:00.465696+00:00,t09,resolve_build_order,feedback_graph,GigaChat-2-Max,True,3,8,8.0,3493,1347,4840,32.2911,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\141017241e94_feedback_graph_t09_iter3.py,
3180b9e5e52c,2026-05-19T15:15:14.503752+00:00,t01,normalize_email,fully_connected,GigaChat-2-Max,True,1,5,5.0,1995,519,2514,14.0378,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\3180b9e5e52c_fully_connected_t01_iter1.py,
6add3741f552,2026-05-19T15:15:37.460004+00:00,t02,parse_csv_line,fully_connected,GigaChat-2-Max,False,1,5,5.0,2803,852,3655,22.9561,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\6add3741f552_fully_connected_t02_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpe65q_qmm\candidate_test.py"", line 31, in <module> | assert parse_csv_line(""a,,c,"") == [""a"", """", ""c"", """"] | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
ebbff2144f4d,2026-05-19T15:15:52.779641+00:00,t03,merge_intervals,fully_connected,GigaChat-2-Max,True,1,5,5.0,2142,618,2760,15.3195,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\ebbff2144f4d_fully_connected_t03_iter1.py,
7130fcf1f796,2026-05-19T15:16:16.940546+00:00,t04,calculate_cart_total,fully_connected,GigaChat-2-Max,False,1,5,5.0,2971,945,3916,24.1607,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\7130fcf1f796_fully_connected_t04_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmpzm47l4ug\candidate_test.py"", line 5, in validate_item | if item['quantity'] <= 0: | ~~~~^^^^^^^^^^^^ | KeyError: 'quantity'"
ef1fcf2e1ba1,2026-05-19T15:16:48.231306+00:00,t05,top_k_frequent,fully_connected,GigaChat-2-Max,True,1,5,5.0,2118,512,2630,31.2905,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\ef1fcf2e1ba1_fully_connected_t05_iter1.py,
a1930e7cb5f3,2026-05-19T15:17:07.160712+00:00,t06,detect_cycle,fully_connected,GigaChat-2-Max,True,1,5,5.0,2108,660,2768,18.9292,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\a1930e7cb5f3_fully_connected_t06_iter1.py,
a4bfb423a8c0,2026-05-19T15:18:13.210914+00:00,t07,analyze_logs,fully_connected,GigaChat-2-Max,False,1,5,5.0,3920,1297,5217,66.05,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\a4bfb423a8c0_fully_connected_t07_iter1.py,"File ""C:\Users\A4F7~1\AppData\Local\Temp\tmp9ekh1qzi\candidate_test.py"", line 47, in <module> | assert analyze_logs(lines) == {""total"": 3, ""by_level"": {""INFO"": 1, ""ERROR"": 1, ""WARNING"": 1}, ""errors"": 1, ""most_common_endpoint"": ""/api/users""} | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AssertionError"
fb429240a293,2026-05-19T15:18:24.050035+00:00,t08,group_by_category,fully_connected,GigaChat-2-Max,True,1,5,5.0,1857,328,2185,10.8389,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\fb429240a293_fully_connected_t08_iter1.py,
f88c4076d341,2026-05-19T15:18:47.303464+00:00,t09,resolve_build_order,fully_connected,GigaChat-2-Max,True,1,5,5.0,3179,1044,4223,23.2532,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\f88c4076d341_fully_connected_t09_iter1.py,
7bc4f777c39b,2026-05-19T15:19:11.116650+00:00,t01,normalize_email,parallel_consensus,GigaChat-2-Max,True,1,6,6.0,1490,857,2347,23.8129,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\7bc4f777c39b_parallel_consensus_t01_iter4.py,
6d17f3ca1c1a,2026-05-19T15:19:37.586182+00:00,t02,parse_csv_line,parallel_consensus,GigaChat-2-Max,False,1,6,6.0,2012,990,3002,26.4693,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\6d17f3ca1c1a_parallel_consensus_t02_iter1.py,"No candidate passed sandbox tests. Reviewer notes: ```python
def parse_csv_line(line: str) -> list[str]:
    result = []
    i = 0
    n = len(line)
    
    while i < n:
        if line[i] == '""':
            # Handle quoted field
            j = i +"
034325ed5380,2026-05-19T15:20:17.509894+00:00,t03,merge_intervals,parallel_consensus,GigaChat-2-Max,True,1,6,6.0,1974,892,2866,39.9234,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\034325ed5380_parallel_consensus_t03_iter4.py,
89c8558dc444,2026-05-19T15:21:31.654069+00:00,t04,calculate_cart_total,parallel_consensus,GigaChat-2-Max,False,1,6,6.0,3110,1044,4154,74.1439,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\89c8558dc444_parallel_consensus_t04_iter1.py,"No candidate passed sandbox tests. Reviewer notes: - Ensure all items have a 'quantity' key before accessing it.
- Validate that each item has both 'price' and 'quantity' keys.
- Handle cases where an item might lack either of these keys by raising a "
45aeb128220a,2026-05-19T15:21:54.035585+00:00,t05,top_k_frequent,parallel_consensus,GigaChat-2-Max,False,1,6,6.0,2769,832,3601,22.3813,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\45aeb128220a_parallel_consensus_t05_iter1.py,"No candidate passed sandbox tests. Reviewer notes: ```python
from collections import Counter

def top_k_frequent(words: list[str], k: int) -> list[str]:
    if k <= 0:
        return []
    
    # Count frequency of each word (case-insensitive)
    fr"
cf4298b980ac,2026-05-19T15:22:14.966620+00:00,t06,detect_cycle,parallel_consensus,GigaChat-2-Max,True,1,6,6.0,1483,718,2201,20.9308,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\cf4298b980ac_parallel_consensus_t06_iter4.py,
0064cdee8eaa,2026-05-19T15:22:47.977620+00:00,t07,analyze_logs,parallel_consensus,GigaChat-2-Max,False,1,6,6.0,2814,1291,4105,33.0108,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\0064cdee8eaa_parallel_consensus_t07_iter1.py,"No candidate passed sandbox tests. Reviewer notes: ```python
from collections import Counter

def analyze_logs(lines):
    def is_valid(line):
        parts = line.split()
        if len(parts) != 5:
            return False
        
        _, level,"
d7b2d0d89d2f,2026-05-19T15:23:04.872127+00:00,t08,group_by_category,parallel_consensus,GigaChat-2-Max,False,1,6,6.0,2094,495,2589,16.8942,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\d7b2d0d89d2f_parallel_consensus_t08_iter1.py,"No candidate passed sandbox tests. Reviewer notes: - Handle empty or missing `category` fields correctly by grouping them under 'unknown'.
- Avoid creating keys with empty string for items without valid categories."
67e20c5dddcb,2026-05-19T15:23:40.205940+00:00,t09,resolve_build_order,parallel_consensus,GigaChat-2-Max,True,1,6,6.0,1976,1296,3272,35.3335,D:\АлтГТУ\Статьи\Agents\multiagent_llm_experiment\generated_solutions\67e20c5dddcb_parallel_consensus_t09_iter4.py,
